Thread ID: 2148405680
Total: 0.017664

 %self     total     self     wait    child    calls  name
  0.08      0.00     0.00     0.00     0.00        2  <Class::ActionController::Base>#view_paths
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Base#initialize_current_url
  0.08      0.00     0.00     0.00     0.00        1  ActionView::Base#initialize_without_template_tracking
  0.08      0.01     0.00     0.00     0.01        1  Rack::Lock#call
  0.08      0.00     0.00     0.00     0.00        6  Enumerable#find
  0.08      0.00     0.00     0.00     0.00        4  ActionView::Base#template=
  0.08      0.01     0.00     0.00     0.01        1  ActiveRecord::QueryCache#call
  0.08      0.00     0.00     0.00     0.00        1  ActiveSupport::Callbacks::Callback#should_run_callback?
  0.08      0.00     0.00     0.00     0.00        1  Hash#each_value
  0.08      0.00     0.00     0.00     0.00        1  MonitorMixin#mon_enter
  0.08      0.01     0.00     0.00     0.01        1  ActionController::Rescue#clean_backtrace
  0.08      0.00     0.00     0.00     0.00        5  Array#include?
  0.08      0.00     0.00     0.00     0.00        4  ActiveSupport::BufferedLogger#flush
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Response#default_charset
  0.08      0.00     0.00     0.00     0.00        1  <Class::ActionView::Base>#process_view_paths
  0.08      0.00     0.00     0.00     0.00        2  ActionView::Template#mime_type
  0.08      0.00     0.00     0.00     0.00        7  ActionController::Base#logger
  0.08      0.00     0.00     0.00     0.00        2  Rack::Request#parse_query
  0.08      0.00     0.00     0.00     0.00        2  Array#-
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Session::CookieStore#prepare!
  0.08      0.00     0.00     0.00     0.00        1  Rack::Lint#check_headers
  0.08      0.00     0.00     0.00     0.00        1  Class#new_without_capture
  0.08      0.00     0.00     0.00     0.00        1  <Class::ActionController::Dispatcher>#before_dispatch_callback_chain
  0.08      0.00     0.00     0.00     0.00        1  ActiveSupport::CoreExtensions::Time::Conversions#to_s
  0.08      0.00     0.00     0.00     0.00        1  ERB::Util#h
  0.08      0.00     0.00     0.00     0.00        2  MonitorMixin#mon_check_owner
  0.08      0.01     0.00     0.00     0.01        1  Rack::MethodOverride#call
  0.07      0.00     0.00     0.00     0.00        2  Kernel#extend
  0.07      0.00     0.00     0.00     0.00        6  String#+
  0.07      0.00     0.00     0.00     0.00        4  Array#shift
  0.07      0.00     0.00     0.00     0.00        2  ActionView::PathSet#find_template
  0.07      0.00     0.00     0.00     0.00        2  ActionView::Base#_evaluate_assigns_and_ivars
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Request#request_parameters
  0.07      0.00     0.00     0.00     0.00        8  Class#superclass
  0.07      0.00     0.00     0.00     0.00        1  Symbol#to_proc
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Response#convert_cookies!
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Request#form_data?
  0.07      0.00     0.00     0.00     0.00        1  ActiveSupport::BacktraceCleaner#silence
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing
  0.07      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::Base>#clear_active_connections!
  0.07      0.00     0.00     0.00     0.00        1  ActiveSupport::Callbacks::Callback#evaluate_method
  0.07      0.00     0.00     0.00     0.00        1  ActionView::Base::ProxyModule#include
